episode_success,episode_probs,task
True,2.7485485e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
False,7.3638774e-14,pick up the black bowl between the plate and the ramekin and place it on the plate
True,1.2916271e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,4.5288274e-07,pick up the black bowl between the plate and the ramekin and place it on the plate
True,1.7294687e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,8.289181e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,6.514615e-06,pick up the black bowl between the plate and the ramekin and place it on the plate
True,4.0328996e-06,pick up the black bowl between the plate and the ramekin and place it on the plate
True,8.99048e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.0017166986,pick up the black bowl between the plate and the ramekin and place it on the plate
True,5.135095e-08,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.0009682145,pick up the black bowl between the plate and the ramekin and place it on the plate
True,9.112055e-06,pick up the black bowl between the plate and the ramekin and place it on the plate
False,3.2485864e-17,pick up the black bowl between the plate and the ramekin and place it on the plate
False,1.7971930000000003e-17,pick up the black bowl between the plate and the ramekin and place it on the plate
True,4.2619035e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,5.2732154e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.0011734915,pick up the black bowl between the plate and the ramekin and place it on the plate
True,2.9507568e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
False,5.505913399999999e-23,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.0043155323,pick up the black bowl between the plate and the ramekin and place it on the plate
True,3.7173006e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,1.5275238e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.00017564846,pick up the black bowl between the plate and the ramekin and place it on the plate
True,2.7186687e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,0.0006684572,pick up the black bowl between the plate and the ramekin and place it on the plate
True,2.0029354e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,4.7455163e-08,pick up the black bowl between the plate and the ramekin and place it on the plate
False,2.8837298000000005e-16,pick up the black bowl between the plate and the ramekin and place it on the plate
True,1.3234343e-05,pick up the black bowl between the plate and the ramekin and place it on the plate
True,7.764202e-07,pick up the black bowl next to the ramekin and place it on the plate
True,4.5210963e-05,pick up the black bowl next to the ramekin and place it on the plate
True,1.5473696e-09,pick up the black bowl next to the ramekin and place it on the plate
False,4.6584695e-18,pick up the black bowl next to the ramekin and place it on the plate
True,7.5839193e-06,pick up the black bowl next to the ramekin and place it on the plate
True,4.5424404e-05,pick up the black bowl next to the ramekin and place it on the plate
True,1.3780677e-05,pick up the black bowl next to the ramekin and place it on the plate
True,9.51079e-06,pick up the black bowl next to the ramekin and place it on the plate
True,1.5533762e-05,pick up the black bowl next to the ramekin and place it on the plate
False,1.9118585e-12,pick up the black bowl next to the ramekin and place it on the plate
True,6.430171e-08,pick up the black bowl next to the ramekin and place it on the plate
True,0.00011327794,pick up the black bowl next to the ramekin and place it on the plate
True,1.399564e-05,pick up the black bowl next to the ramekin and place it on the plate
True,3.3692257e-07,pick up the black bowl next to the ramekin and place it on the plate
True,2.67738e-05,pick up the black bowl next to the ramekin and place it on the plate
True,1.4551132e-06,pick up the black bowl next to the ramekin and place it on the plate
True,3.707253e-06,pick up the black bowl next to the ramekin and place it on the plate
True,3.3777708e-06,pick up the black bowl next to the ramekin and place it on the plate
True,3.6616077e-10,pick up the black bowl next to the ramekin and place it on the plate
True,7.096612e-07,pick up the black bowl next to the ramekin and place it on the plate
True,0.0036778136,pick up the black bowl next to the ramekin and place it on the plate
True,2.8233515e-07,pick up the black bowl next to the ramekin and place it on the plate
True,0.0016455721,pick up the black bowl next to the ramekin and place it on the plate
True,0.00022080925,pick up the black bowl next to the ramekin and place it on the plate
True,1.0048983e-08,pick up the black bowl next to the ramekin and place it on the plate
True,9.31747e-07,pick up the black bowl next to the ramekin and place it on the plate
True,6.5633567e-06,pick up the black bowl next to the ramekin and place it on the plate
True,4.40515e-06,pick up the black bowl next to the ramekin and place it on the plate
True,6.134062e-05,pick up the black bowl next to the ramekin and place it on the plate
True,7.3605693e-06,pick up the black bowl next to the ramekin and place it on the plate
False,5.0579024e-17,pick up the black bowl from table center and place it on the plate
True,1.1567071e-06,pick up the black bowl from table center and place it on the plate
True,8.443479e-07,pick up the black bowl from table center and place it on the plate
True,4.513641e-05,pick up the black bowl from table center and place it on the plate
True,3.8935298e-07,pick up the black bowl from table center and place it on the plate
True,2.8847979e-12,pick up the black bowl from table center and place it on the plate
True,0.0048719295,pick up the black bowl from table center and place it on the plate
